C:\Cambridge\Election2019\School\3 Final\School Transfer Report


*** COUNT 2 ***

   000301-00-00070000315714:  Bowman, Manikka L. --> Fantini, Alfred B.
   000301-00-00070000510073:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000301-00-00070000747087:  Bowman, Manikka L. --> Fantini, Alfred B.
   000301-00-00070000985975:  Bowman, Manikka L. --> Dawson, Bernette J.
   000402-00-00120000089300:  Bowman, Manikka L. --> Wilson, Ayesha
   000402-00-00120000138297:  Bowman, Manikka L. --> Wilson, Ayesha
   000402-00-00120000228270:  Bowman, Manikka L. --> Kadete, Elechi M.
   000402-00-00120000277301:  Bowman, Manikka L. --> Fantini, Alfred B.
   000402-00-00120000353590:  Bowman, Manikka L. --> Wilson, Ayesha
   000402-00-00120000448169:  Bowman, Manikka L. --> Fantini, Alfred B.
   000402-00-00120000521792:  Bowman, Manikka L. --> Fantini, Alfred B.
   000402-00-00120000636934:  Bowman, Manikka L. --> Fantini, Alfred B.
   000402-00-00120000698449:  Bowman, Manikka L. --> Dawson, Bernette J.
   000402-00-00120000789013:  Bowman, Manikka L. --> Wilson, Ayesha
   000402-00-00120000872043:  Bowman, Manikka L. --> Fantini, Alfred B.
   000402-00-00120000964943:  Bowman, Manikka L. --> Lim, Christopher
   000402-00-00470000340130:  Bowman, Manikka L. --> Fantini, Alfred B.
   000403-00-00130000017339:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000403-00-00130000434508:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000403-00-00130000837551:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000501-00-00140000038587:  Bowman, Manikka L. --> Fantini, Alfred B.
   000501-00-00140000138044:  Bowman, Manikka L. --> Fantini, Alfred B.
   000501-00-00140000284019:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000501-00-00140000335265:  Bowman, Manikka L. --> Wilson, Ayesha
   000501-00-00140000395188:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000501-00-00140000530405:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000501-00-00140000622290:  Bowman, Manikka L. --> Allen, Ruth Ryan
   000501-00-00140000714274:  Bowman, Manikka L. --> Fantini, Alfred B.
   000501-00-00140000841785:  Bowman, Manikka L. --> Allen, Ruth Ryan
   000501-00-00140000982604:  Bowman, Manikka L. --> Fantini, Alfred B.
   000902-00-00270000031723:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000902-00-00270000217173:  Bowman, Manikka L. --> Dawson, Bernette J.
   000902-00-00270000453792:  Bowman, Manikka L. --> Fantini, Alfred B.
   000902-00-00270000663630:  Bowman, Manikka L. --> Weinstein, David J.
   000902-00-00610000255686:  Bowman, Manikka L. --> Wilson, Ayesha
   000902-00-09220000116167:  Bowman, Manikka L. --> Fantini, Alfred B.
   000902-00-09220000325323:  Bowman, Manikka L. --> Fantini, Alfred B.
   000902-00-09220000451260:  Bowman, Manikka L. --> Wilson, Ayesha
   000902-00-09220000683402:  Bowman, Manikka L. --> Fantini, Alfred B.
   000902-00-09220000970520:  Bowman, Manikka L. --> Wilson, Ayesha
   000202-00-00050000318957:  Bowman, Manikka L. --> Wilson, Ayesha
   000202-00-00050000510281:  Bowman, Manikka L. --> Wilson, Ayesha
   000202-00-00050000722088:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000203-00-00060000193746:  Bowman, Manikka L. --> Wilson, Ayesha
   000203-00-00060000346325:  Bowman, Manikka L. --> Wilson, Ayesha
   000203-00-00060000504819:  Bowman, Manikka L. --> Weinstein, David J.
   000203-00-00060000725067:  Bowman, Manikka L. --> Fantini, Alfred B.
   000603-00-00190000008928:  Bowman, Manikka L. --> Fantini, Alfred B.
   000603-00-00190000126576:  Bowman, Manikka L. --> Fantini, Alfred B.
   000603-00-00190000181773:  Bowman, Manikka L. --> Fantini, Alfred B.
   000603-00-00190000316507:  Bowman, Manikka L. --> Dawson, Bernette J.
   000603-00-00190000411830:  Bowman, Manikka L. --> Fantini, Alfred B.
   000603-00-00190000539850:  Bowman, Manikka L. --> Dawson, Bernette J.
   000603-00-00190000613225:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000603-00-00190000715505:  Bowman, Manikka L. --> Fantini, Alfred B.
   000603-00-00190000927493:  Bowman, Manikka L. --> Fantini, Alfred B.
   001002-00-00300000014947:  Bowman, Manikka L. --> Wilson, Ayesha
   001002-00-00300000117034:  Bowman, Manikka L. --> Weinstein, Rachel B.
   001002-00-00300000239295:  Bowman, Manikka L. --> Dawson, Bernette J.
   001002-00-00300000440678:  Bowman, Manikka L. --> Fantini, Alfred B.
   001002-00-00300000622965:  Bowman, Manikka L. --> Fantini, Alfred B.
   001002-00-00300000758516:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   001002-00-00300000885444:  Bowman, Manikka L. --> Weinstein, David J.
   001002-00-00650000788302:  Bowman, Manikka L. --> Lim, Christopher
   001002-00-10220000183745:  Bowman, Manikka L. --> Fantini, Alfred B.
   001002-00-10220000441332:  Bowman, Manikka L. --> Weinstein, Rachel B.
   001002-00-10220000555720:  Bowman, Manikka L. --> Weinstein, Rachel B.
   001002-00-10220000694374:  Bowman, Manikka L. --> Weinstein, Rachel B.
   001002-00-10220000865169:  Bowman, Manikka L. --> Wilson, Ayesha
   001002-00-10220000993630:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   001003-00-00310000086277:  Bowman, Manikka L. --> Fantini, Alfred B.
   001003-00-00310000172026:  Bowman, Manikka L. --> Allen, Ruth Ryan
   001003-00-00310000262395:  Bowman, Manikka L. --> Fantini, Alfred B.
   001003-00-00310000403896:  Bowman, Manikka L. --> Dawson, Bernette J.
   001003-00-00310000450175:  Bowman, Manikka L. --> Wilson, Ayesha
   001003-00-00310000568414:  Bowman, Manikka L. --> Wilson, Ayesha
   001003-00-00310000641892:  Bowman, Manikka L. --> Wilson, Ayesha
   001003-00-00310000729027:  Bowman, Manikka L. --> Weinstein, David J.
   001003-00-00310000846775:  Bowman, Manikka L. --> Wilson, Ayesha
   001003-00-00310000887202:  Bowman, Manikka L. --> Wilson, Ayesha
   001003-00-00660000233488:  Bowman, Manikka L. --> Weinstein, Rachel B.
   001003-00-00660000993886:  Bowman, Manikka L. --> Dawson, Bernette J.
   000502-00-00150000067286:  Bowman, Manikka L. --> Fantini, Alfred B.
   000502-00-00150000132274:  Bowman, Manikka L. --> Fantini, Alfred B.
   000502-00-00150000336380:  Bowman, Manikka L. --> Dawson, Bernette J.
   000502-00-00150000414193:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000502-00-00150000568541:  Bowman, Manikka L. --> Wilson, Ayesha
   000502-00-00150000602097:  Bowman, Manikka L. --> Fantini, Alfred B.
   000502-00-00150000695470:  Bowman, Manikka L. --> Fantini, Alfred B.
   000502-00-00150000839516:  Bowman, Manikka L. --> Wilson, Ayesha
   000502-00-00150000912472:  Bowman, Manikka L. --> Kadete, Elechi M.
   000502-00-00500000757226:  Bowman, Manikka L. --> Fantini, Alfred B.
   000803-00-00250000515033:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   001001-00-00290000003118:  Bowman, Manikka L. --> Allen, Ruth Ryan
   001001-00-00290000160188:  Bowman, Manikka L. --> Dawson, Bernette J.
   001001-00-00290000343638:  Bowman, Manikka L. --> Dawson, Bernette J.
   001001-00-00290000533563:  Bowman, Manikka L. --> Wilson, Ayesha
   001001-00-00290000657955:  Bowman, Manikka L. --> Fantini, Alfred B.
   001001-00-00290000801344:  Bowman, Manikka L. --> Weinstein, Rachel B.
   001001-00-00290000906887:  Bowman, Manikka L. --> Wilson, Ayesha
   001001-00-00290000979248:  Bowman, Manikka L. --> Fantini, Alfred B.
   001001-00-10120000148422:  Bowman, Manikka L. --> Wilson, Ayesha
   001001-00-10120000359455:  Bowman, Manikka L. --> Fantini, Alfred B.
   001001-00-10120000585665:  Bowman, Manikka L. --> Kadete, Elechi M.
   001001-00-10120000765732:  Bowman, Manikka L. --> Allen, Ruth Ryan
   001001-00-10120000885106:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000101-00-00010000018151:  Bowman, Manikka L. --> Dawson, Bernette J.
   000101-00-00010000183121:  Bowman, Manikka L. --> Fantini, Alfred B.
   000101-00-00010000286547:  Bowman, Manikka L. --> Fantini, Alfred B.
   000101-00-00010000391189:  Bowman, Manikka L. --> Weinstein, David J.
   000101-00-00010000531886:  Bowman, Manikka L. --> Lim, Christopher
   000101-00-00010000651960:  Bowman, Manikka L. --> Fantini, Alfred B.
   000101-00-00010000735466:  Bowman, Manikka L. --> Fantini, Alfred B.
   000101-00-00010000830888:  Bowman, Manikka L. --> Weinstein, David J.
   000101-00-00010000934207:  Bowman, Manikka L. --> Wilson, Ayesha
   000802-00-00240000071085:  Bowman, Manikka L. --> Fantini, Alfred B.
   000802-00-00240000159657:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000802-00-00240000328785:  Bowman, Manikka L. --> Fantini, Alfred B.
   000802-00-00240000471322:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000802-00-00240000614375:  Bowman, Manikka L. --> Dawson, Bernette J.
   000802-00-00240000688430:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000802-00-00240000846963:  Bowman, Manikka L. --> Fantini, Alfred B.
   000802-00-00240000984843:  Bowman, Manikka L. --> Dawson, Bernette J.
   001102-00-00330000136424:  Bowman, Manikka L. --> Dawson, Bernette J.
   001102-00-00330000187941:  Bowman, Manikka L. --> Weinstein, David J.
